Título do vídeo,Link para o vídeo,Hora da publicação,Visualizações do vídeo,Curtidas,Comentários,Compartilhamentos,Adicionar aos Favoritos
QUE JOGADA DA JULIA BEATRIZ! É o terceiro gol das Guerreiras Grenás na partida! #PaulistãoF,https://www.tiktok.com/@paulistaofeminino/video/7639853628085292305,2026/05/14 20:54:49,996,43,1,0,1
MONIQUE MARCA PARA A FERROVIÁRIA! A zagueira grená não desperdiçou o cruzamento na área e as Guerreiras saem na frente contra o Mirassol! #PaulistãoF,https://www.tiktok.com/@paulistaofeminino/video/7639833322293693703,2026/05/14 19:35:04,975,70,0,0,0
A adm entrou na trend da melhor forma possível 🙏 #PaulistãoF2026 ,https://www.tiktok.com/@paulistaofeminino/video/7637586740378619144,2026/05/08 18:17:22,1156,68,0,0,0
NÃO TEM COMO EVITAR! A Mylena deu aquela desviadinha consciente na primeira trave e garantiu o gol da virada do Tricolor no primeiro tempo. #PaulsitãoF2026,https://www.tiktok.com/@paulistaofeminino/video/7637336962885602578,2026/05/08 02:07:35,2823,68,0,0,0
"SIIIIIIIIIIIIIIIIIIIU! A Anna Bia bem que tentou, mas não teve como impedir do golaço da Robledo! #PaulistãoF2026",https://www.tiktok.com/@paulistaofeminino/video/7637336601491787016,2026/05/08 02:05:57,8909,503,5,11,9
"PEREYRA! Aquela chapada de fora da área, sem chances para a goleira do Corinthians! #PaulistãoF2026",https://www.tiktok.com/@paulistaofeminino/video/7637336612350790930,2026/05/08 02:05:55,3379,84,2,0,0
PASSARAM A CALL! As instruções de Emily Lima e Thiago Viana na parada para a hidratação! #PaulistãoF2026,https://www.tiktok.com/@paulistaofeminino/video/7637326515104943381,2026/05/08 01:27:28,16091,630,2,6,28
OLHA A VIRADA DO SÃO PAULO! Mylena usou a cabeça e colocou o Tricolor na frente do marcador! #PaulistãoF2026,https://www.tiktok.com/@paulistaofeminino/video/7637325125062298897,2026/05/08 01:23:22,3047,86,0,0,1
TÁ TUDO IGUAL! Pereyra bate de fora da área e empata o Majestoso! #PaulistãoF2026,https://www.tiktok.com/@paulistaofeminino/video/7637322613265534228,2026/05/08 01:12:22,1342,59,0,0,0
ROBLEDOOOOO! A camisa 7 do Corinthians solta o pé da entrada da área e anota um GOLAÇO no Majestoso! #PaulistãoF2026,https://www.tiktok.com/@paulistaofeminino/video/7637320212194397447,2026/05/08 01:02:58,19416,808,10,7,18
"NÃO PERCA AS CONTAS! Palmeiras 1, 2, 3, 4 e 5! Agora foi a vez de Greicy deixar o dela! #PaulistãoF2026",https://www.tiktok.com/@paulistaofeminino/video/7636910185268727061,2026/05/06 22:31:49,2405,134,1,1,1
A DONA DO JOGO! Tem mais um dela! Diany anota o quarto gol da partida! #PaulistãoF2026,https://www.tiktok.com/@paulistaofeminino/video/7636909673085472020,2026/05/06 22:29:23,1023,77,2,0,1
QUE PANCADA! A Glaucia soltou o pé na cobrança de pênalti e anotou o segundo do Palmeiras contra o Mirassol. #PaulistãoF,https://www.tiktok.com/@paulistaofeminino/video/7636908049462070529,2026/05/06 22:24:42,1421,86,1,0,0
VERDÃO TÁ COM TUDO! É o terceiro do Palmeiras! Emily Assis aproveitou o cruzamento vindo da esquerda e se lançou na bola para garantir mais um gol pro Alviverde! #PaulisãoF,https://www.tiktok.com/@paulistaofeminino/video/7636907958433041684,2026/05/06 22:23:18,984,71,1,0,1
TÁ NA REDE! Diany aproveitou a falha da zaga do Mirassol pra fazer o primeiro do Palmeiras no Paulistão F! #PaulistãoF2026,https://www.tiktok.com/@paulistaofeminino/video/7636907481523916053,2026/05/06 22:21:24,2131,114,2,0,3
O PRIMEIRO DE LAURA VALVERDE PELAS BRAGANTINAS! O GOL QUE GARANTIU O EMPATE DA EQUIPE! #PaulistãoF2026,https://www.tiktok.com/@paulistaofeminino/video/7636891710387162388,2026/05/06 21:20:13,878,63,0,0,2
UM MILAGRE! Yolanda faz bela defesa e salva o Taubaté! #PaulistãoF2026 #Taubaté,https://www.tiktok.com/@paulistaofeminino/video/7636884223353244949,2026/05/06 20:51:18,867,59,0,1,0
SAAAIIIIIUUUUU! Alessandra marca o primeiro gol do Paulistão F 2026! #PaulistãoF2026 #Taubaté,https://www.tiktok.com/@paulistaofeminino/video/7636877577822506260,2026/05/06 20:25:29,1251,74,1,0,0
"OLHA QUEM CHEGOU 🤩 Prepare-se, a competição mais tradicional do país vai começar nesta quarta-feira! #PaulistãoF",https://www.tiktok.com/@paulistaofeminino/video/7636500295815564552,2026/05/05 20:00:29,822,57,2,0,0
